"County","Year","Race","EDvisits"
"alameda",2015,"White",32
"alpine",2015,"White",0
"amador",2015,"White",63.8
"butte",2015,"White",53.3
"calaveras",2015,"White",50.1
"colusa",2015,"White",55.1
"contra costa",2015,"White",40.4
"del norte",2015,"White",72.9
"el dorado",2015,"White",25.8
"fresno",2015,"White",72.7
"glenn",2015,"White",53.9
"humboldt",2015,"White",65.5
"imperial",2015,"White",73.8
"inyo",2015,"White",50.8
"kern",2015,"White",56.9
"kings",2015,"White",87.6
"lake",2015,"White",83.6
"lassen",2015,"White",57.3
"los angeles",2015,"White",35.4
"madera",2015,"White",46.6
"marin",2015,"White",19.5
"mariposa",2015,"White",51.7
"mendocino",2015,"White",70.2
"merced",2015,"White",85.7
"modoc",2015,"White",72.8
"mono",2015,"White",36
"monterey",2015,"White",44.7
"napa",2015,"White",46
"nevada",2015,"White",50.9
"orange",2015,"White",33.8
"placer",2015,"White",33.8
"plumas",2015,"White",48.7
"riverside",2015,"White",40.7
"sacramento",2015,"White",49.7
"san benito",2015,"White",61.5
"san bernardino",2015,"White",54.9
"san diego",2015,"White",26.2
"san francisco",2015,"White",26.4
"san joaquin",2015,"White",58
"san luis obispo",2015,"White",39.3
"san mateo",2015,"White",28.5
"santa barbara",2015,"White",36.8
"santa clara",2015,"White",30.1
"santa cruz",2015,"White",30.7
"shasta",2015,"White",65.7
"sierra",2015,"White",NA
"siskiyou",2015,"White",50.5
"solano",2015,"White",69.1
"sonoma",2015,"White",39.7
"stanislaus",2015,"White",59.1
"sutter",2015,"White",37.8
"tehama",2015,"White",58.1
"trinity",2015,"White",74.7
"tulare",2015,"White",34.5
"tuolumne",2015,"White",59.9
"ventura",2015,"White",33.1
"yolo",2015,"White",41
"yuba",2015,"White",53
"alameda",2015,"Black",218.5
"alpine",2015,"Black",0
"amador",2015,"Black",NA
"butte",2015,"Black",286.6
"calaveras",2015,"Black",NA
"colusa",2015,"Black",NA
"contra costa",2015,"Black",232.7
"del norte",2015,"Black",NA
"el dorado",2015,"Black",176.3
"fresno",2015,"Black",153
"glenn",2015,"Black",NA
"humboldt",2015,"Black",379.6
"imperial",2015,"Black",119.3
"inyo",2015,"Black",0
"kern",2015,"Black",201.5
"kings",2015,"Black",177.7
"lake",2015,"Black",221.7
"lassen",2015,"Black",NA
"los angeles",2015,"Black",175.8
"madera",2015,"Black",194.6
"marin",2015,"Black",87.8
"mariposa",2015,"Black",NA
"mendocino",2015,"Black",180.4
"merced",2015,"Black",361.6
"modoc",2015,"Black",0
"mono",2015,"Black",0
"monterey",2015,"Black",161.4
"napa",2015,"Black",135.9
"nevada",2015,"Black",NA
"orange",2015,"Black",126
"placer",2015,"Black",112.5
"plumas",2015,"Black",NA
"riverside",2015,"Black",139.5
"sacramento",2015,"Black",229.9
"san benito",2015,"Black",NA
"san bernardino",2015,"Black",154.9
"san diego",2015,"Black",129.8
"san francisco",2015,"Black",227.5
"san joaquin",2015,"Black",215.7
"san luis obispo",2015,"Black",132.3
"san mateo",2015,"Black",67.7
"santa barbara",2015,"Black",151.5
"santa clara",2015,"Black",117.5
"santa cruz",2015,"Black",87.4
"shasta",2015,"Black",148.8
"sierra",2015,"Black",0
"siskiyou",2015,"Black",NA
"solano",2015,"Black",232.8
"sonoma",2015,"Black",121.5
"stanislaus",2015,"Black",280.5
"sutter",2015,"Black",131.3
"tehama",2015,"Black",NA
"trinity",2015,"Black",0
"tulare",2015,"Black",129.5
"tuolumne",2015,"Black",NA
"ventura",2015,"Black",141.2
"yolo",2015,"Black",108
"yuba",2015,"Black",135
"alameda",2015,"Hispanic",57.7
"alpine",2015,"Hispanic",0
"amador",2015,"Hispanic",53.8
"butte",2015,"Hispanic",33.5
"calaveras",2015,"Hispanic",37.7
"colusa",2015,"Hispanic",34.9
"contra costa",2015,"Hispanic",68.2
"del norte",2015,"Hispanic",26.1
"el dorado",2015,"Hispanic",41.7
"fresno",2015,"Hispanic",83.8
"glenn",2015,"Hispanic",33.9
"humboldt",2015,"Hispanic",25.7
"imperial",2015,"Hispanic",70.4
"inyo",2015,"Hispanic",47.7
"kern",2015,"Hispanic",53.4
"kings",2015,"Hispanic",70.7
"lake",2015,"Hispanic",70
"lassen",2015,"Hispanic",NA
"los angeles",2015,"Hispanic",50
"madera",2015,"Hispanic",68.8
"marin",2015,"Hispanic",27.2
"mariposa",2015,"Hispanic",NA
"mendocino",2015,"Hispanic",33.3
"merced",2015,"Hispanic",82.2
"modoc",2015,"Hispanic",NA
"mono",2015,"Hispanic",32
"monterey",2015,"Hispanic",51
"napa",2015,"Hispanic",32.4
"nevada",2015,"Hispanic",15.1
"orange",2015,"Hispanic",36.5
"placer",2015,"Hispanic",23.5
"plumas",2015,"Hispanic",134.6
"riverside",2015,"Hispanic",36.6
"sacramento",2015,"Hispanic",59.2
"san benito",2015,"Hispanic",49.6
"san bernardino",2015,"Hispanic",45.3
"san diego",2015,"Hispanic",37.7
"san francisco",2015,"Hispanic",48.5
"san joaquin",2015,"Hispanic",56.9
"san luis obispo",2015,"Hispanic",35.3
"san mateo",2015,"Hispanic",58.3
"santa barbara",2015,"Hispanic",42.6
"santa clara",2015,"Hispanic",54.5
"santa cruz",2015,"Hispanic",45.6
"shasta",2015,"Hispanic",33.5
"sierra",2015,"Hispanic",NA
"siskiyou",2015,"Hispanic",22.7
"solano",2015,"Hispanic",59.3
"sonoma",2015,"Hispanic",37
"stanislaus",2015,"Hispanic",53.1
"sutter",2015,"Hispanic",27.9
"tehama",2015,"Hispanic",50.4
"trinity",2015,"Hispanic",NA
"tulare",2015,"Hispanic",38.1
"tuolumne",2015,"Hispanic",22.5
"ventura",2015,"Hispanic",37.4
"yolo",2015,"Hispanic",48.7
"yuba",2015,"Hispanic",29.2
"alameda",2015,"Asian/PI",23
"alpine",2015,"Asian/PI",0
"amador",2015,"Asian/PI",0
"butte",2015,"Asian/PI",21.1
"calaveras",2015,"Asian/PI",NA
"colusa",2015,"Asian/PI",0
"contra costa",2015,"Asian/PI",26.3
"del norte",2015,"Asian/PI",NA
"el dorado",2015,"Asian/PI",18.4
"fresno",2015,"Asian/PI",25.5
"glenn",2015,"Asian/PI",NA
"humboldt",2015,"Asian/PI",NA
"imperial",2015,"Asian/PI",NA
"inyo",2015,"Asian/PI",0
"kern",2015,"Asian/PI",23.5
