"site","ozone","month","year","lat","lon"
2008,0.026974006116208,1,2015,34.46248,-120.02547
2013,0.0094046875,1,2015,36.70556,-119.74139
2016,0.0210390835579515,1,2015,36.48187,-121.73333
2032,0.00865148095909732,1,2015,36.33252,-119.29095
2077,0.021933779264214,1,2015,34.05965,-117.14734
2094,0.0093298682284041,1,2015,37.95075,-121.26897
2114,0.0129955089820359,1,2015,36.59744,-119.50369
2116,0.0243856753069577,1,2015,37.36075,-118.3308
2123,0.0107478873239437,1,2015,38.71209,-121.38108
2125,0.007112976022567,1,2015,37.48293,-122.20348
2143,0.0123244350282486,1,2015,38.53455,-121.7734
2160,0.0118847988077496,1,2015,34.13265,-118.12714
2199,0.0270441860465116,1,2015,33.85262,-116.54099
2221,0.0145725071225071,1,2015,34.106678,-117.274063
2249,0.0114935916542474,1,2015,33.92505,-117.95259
2263,0.0175335320417288,1,2015,33.127708,-117.075327
2266,0.0186509433962264,1,2015,34.10015,-117.49198
2312,0.011403081232493,1,2015,35.345607,-118.851825
2321,0.02305657708628,1,2015,35.366386,-120.842602
2360,0.0180553977272727,1,2015,34.63782,-120.4575
2368,0.0242829131652661,1,2015,32.952499,-117.263336
2373,0.00754535211267606,1,2015,37.76595,-122.39902
2410,0.0101950213371266,1,2015,38.10251,-122.238
2420,0.0195118980169972,1,2015,34.1992,-118.53275
2460,0.0359926144756278,1,2015,32.84232,-116.76831
2484,0.0208807580174927,1,2015,34.13648,-117.92392
2485,0.0144891044776119,1,2015,34.10367,-117.62906
2494,0.0180781690140845,1,2015,34.05109,-118.4564
2499,0.0226072931276297,1,2015,34.24313,-117.2723
2525,0.0141869014084507,1,2015,33.78933,-117.22764
2551,0.0172954545454545,1,2015,32.79215,-115.56299
2589,0.0169248120300752,1,2015,32.63123,-117.05905
2593,0.0208120617110799,1,2015,34.60582,-120.07507
2596,0.0146325547445255,1,2015,33.99952,-117.41595
2622,0.00917100424328147,1,2015,37.9723,-122.52011
2628,0.0182530282637954,1,2015,36.843425,-121.3621
2650,0.0188490398818316,1,2015,34.4165,-117.28559
2655,0.0078219589257504,1,2015,38.31139,-122.2942
2731,0.0086002766251729,1,2015,38.61374,-121.36801
2744,0.0129931276297335,1,2015,39.18919,-121.99887
2752,0.00913080168776371,1,2015,41.72679,-122.63359
2772,0.0129611500701262,1,2015,35.438035,-119.016787
2804,0.0118424778761062,1,2015,38.0063,-121.64191
2829,0.0125017783857729,1,2015,40.55013,-122.38092
2830,0.031191495601173,1,2015,34.42505,-117.58982
